clue_id,definition,split,phrase
181590,Red,validate,<t>Red</t> revolutionary on right track
181591,Blue,train,<t>Blue</t> director thrown out
181592,Playwright,test,<t>Playwright</t>’s book has point about leading lady
181593,say,validate,"Nurse cat, <t>say</t>"
181594,Uncommon,train,<t>Uncommon</t> camera revealing bottles
181596,Abandons,test,<t>Abandons</t> rocket?
181596,rocket,test,Abandons <t>rocket</t>?
181597,principles,validate,Complaints about Liberal International’s <t>principles</t>
181598,sterile,train,"When recording nervous symptom, be <t>sterile</t>"
181599,Purple,train,<t>Purple</t> strand
181599,strand,test,Purple <t>strand</t>
181602,film director,validate,Had swimming-pool accident with independent <t>film director</t>
181604,Rose,test,<t>Rose</t> rang about going first
181605,colour,validate,One rag off <t>colour</t>
181606,Yellow,test,<t>Yellow</t> milk producer unlikely in the East End
181607,Red,train,<t>Red</t> seams barred by order
181609,monstrosities,validate,European agreement covers putting up pink <t>monstrosities</t>
181610,green,test,English company thinking <t>green</t>
181611,Brown,test,<t>Brown</t> thanks Nicaragua’s leader
181612,boring,test,"With no alcohol around, singer Chris is <t>boring</t>"
181617,Conspiracy,train,<t>Conspiracy</t> to be fascinating
181618,Request,test,<t>Request</t> a review of forks
181620,Jug,test,<t>Jug</t> of wine we relish
181621,Throw,train,<t>Throw</t> ball after removing cover
181624,instrument,validate,Unknown person at university returned to polish <t>instrument</t>
181626,Sweetener,test,<t>Sweetener</t> from centre in Prague brought back by son
181629,Understand,test,<t>Understand</t> female in one’s house? Not quite
181630,retreat,validate,A quiet artist beginning to meditate in <t>retreat</t>
181631,Country,validate,<t>Country</t> record includes live song
181633,Wild dog,validate,<t>Wild dog</t> shot following row
181635,Fruit,train,<t>Fruit</t> ready? Large cask we brought back
181636,Firework,validate,<t>Firework</t> plant
181636,plant,train,Firework <t>plant</t>
181637,Get rid of,test,<t>Get rid of</t> all the players on strike
181642,pact,test,"Deal with Turkey, ultimately establishing <t>pact</t>"
181643,Kylie,test,"<t>Kylie</t> and Romeo, sadly, caught in explosion"
181644,Rot,train,<t>Rot</t> in English trees
181649,strike,test,"Manage, violating it on <t>strike</t>"
181651,Trim,train,<t>Trim</t> one-piece garment
181654,Animal,test,"<t>Animal</t> from mountain area, tailless cat"
181655,relish,test,Favourite Italian devoured by primate with <t>relish</t>
181657,late,validate,Responsible for factory worker being <t>late</t>
181659,apart,train,A street <t>apart</t>
181661,disgust,validate,"Name a custom, at Eton originally, in <t>disgust</t>"
181662,Melodramatic,train,<t>Melodramatic</t> article on a hearing involving clubs
181663,aircraft,train,Strip first of engines in <t>aircraft</t>
181664,Set off,test,<t>Set off</t> from aforementioned college in time
181665,channel,test,Difficult locking in right <t>channel</t>
181666,Mean,train,<t>Mean</t> swindle by unknown character
181668,Measure,test,<t>Measure</t> length between Parisian street and river
181673,Deserter,validate,"<t>Deserter</t>, sailor, capsized"
181674,Steward,train,"<t>Steward</t>, at end of event, remarkably tanned"
181680,Have,train,<t>Have</t> feathers daughter plucked
181681,recess,test,Fail in court <t>recess</t>
181683,Friendly,test,<t>Friendly</t> hint
181683,hint,train,Friendly <t>hint</t>
181691,Wife,train,"<t>Wife</t>, the most beautiful girl in America?"
181709,Brandish,train,<t>Brandish</t> one in joint
181711,Absorb,test,<t>Absorb</t> new gen supplied by Arctic explorer
181712,Measure,test,<t>Measure</t> head
181712,head,test,Measure <t>head</t>
181714,Lettuce,test,<t>Lettuce</t>’s price cut
181715,Working,validate,"<t>Working</t> not compulsory, having a lot of time?"
181718,working party,validate,"After end of Lent, request church <t>working party</t>"
181719,Mean,train,<t>Mean</t> man conserving energy
181722,broker,test,A well-bred fellow <t>broker</t>
181724,colour scheme,test,"Extremely debatable, my <t>colour scheme</t>"
181726,quilt,train,Colour that is raised on blue <t>quilt</t>
181728,Draw,test,"<t>Draw</t> level, almost"
181729,Bet,validate,<t>Bet</t> earnings on first in race
181730,Feeling,train,<t>Feeling</t> demonstrated by symbol Charlie left out
181736,Actress,validate,"<t>Actress</t> having stitch in side, keeled over"
181737,Earliest,test,<t>Earliest</t> tree on street
181738,Earlier,test,"<t>Earlier</t> religious house, incomplete"
181739,age,test,English artist’s <t>age</t>
181744,passion,test,A bit of a kip after extremes of heartache and <t>passion</t>
181750,Incensed,test,"<t>Incensed</t> at people rejecting seconds, start to convulse and twitch"
181752,Sick,test,<t>Sick</t> brother leaves NY street after thief’s confession
181754,meal,test,Set off without a <t>meal</t>
181755,paperwork,test,"To Riga, migrating without <t>paperwork</t>"
181756,Real,train,<t>Real</t> origins of European common toad probed by Henry
181758,Singer,test,<t>Singer</t> tries to rebel after ban on underwear on beach
181761,tyre,train,Half-heartedly withdraw commercial for <t>tyre</t>
181765,Stars,test,"<t>Stars</t> in east, south and west in conjunction"
181766,scientist,validate,Nice article supporting young male <t>scientist</t>
181798,Conspicuous,test,<t>Conspicuous</t> poverty traps
181799,Witness,test,"<t>Witness</t> mates, hammered, opening old wine"
181800,tricks,validate,Exposes market’s <t>tricks</t>
181802,vision,test,Doctor West returns in <t>vision</t>
181804,Current,test,<t>Current</t> setter involved in predicament
181805,okay,validate,"Leaving south-west, migratory bird’s <t>okay</t>"
181806,principles,validate,Firm embracing socialist <t>principles</t>
181808,game,train,Black dominant on move in <t>game</t>
181810,journalist,validate,Reformed character receiving second <t>journalist</t>
181811,Piece of work,train,<t>Piece of work</t> runs into bar
181813,Management,test,<t>Management</t> team thrown in river
181815,Take turns,test,<t>Take turns</t> thus to get neat?
181816,grounds,test,Current entering fish <t>grounds</t>
181819,stuff,train,At sea it cooked <t>stuff</t>
181821,control,train,Monk in ANC beginning to establish <t>control</t>
181823,Radical,test,<t>Radical</t> adherent entertaining Mister Swan
181825,Finance,test,<t>Finance</t> some men do without
181827,Order,validate,"<t>Order</t> to carry out, endlessly elaborate"
181829,Row,validate,<t>Row</t> caused by an underwired bra?
181830,Banter,test,<t>Banter</t> may become hurtful in time
181831,Remarkable,test,<t>Remarkable</t> way to communicate
181832,Looker,train,<t>Looker</t> for work has a twitch
181837,control,test,The French male remains in <t>control</t>
181838,Objects,validate,<t>Objects</t> to nights being disturbed
181840,Give,train,<t>Give</t> fruit on entering
181842,Ape,validate,<t>Ape</t> a historian
181842,historian,train,Ape a <t>historian</t>
181846,Harmony,train,<t>Harmony</t> in marriage
181846,marriage,train,Harmony in <t>marriage</t>
181851,Taught,train,<t>Taught</t> to be literate
181851,literate,test,Taught to be <t>literate</t>
181856,Writer,train,<t>Writer</t> like Nelson?
181857,Substitute,test,<t>Substitute</t> for axes
181858,unit,test,1000 + 1 + 50 + 0 + 50? It’s about a <t>unit</t>
181859,Measure,validate,<t>Measure</t> direction using sound
181861,At,test,<t>At</t> position in A&E wanting 6
181862,CD,validate,"<t>CD</t> music made poorly, lacking special energy"
181866,discos,test,Youngsters left inside <t>discos</t>
181867,Be,test,"<t>Be</t> 51 stone in front, without odd tummy"
181869,drink,test,Perfect summer month for record <t>drink</t>
181870,I,validate,<t>I</t> dine out after 10
181872,In,train,"<t>In</t> wind, I umpire inside"
181874,Important,test,<t>Important</t> old city fellow
181876,Terminate,test,"<t>Terminate</t> Sierra, Romeo, Quebec, Papa?"
181879,furniture,test,100 locks for <t>furniture</t>
181882,No,test,<t>No</t> prize? I’m to receive 2nd cup
181883,As,test,"<t>As</t> football team loses a league, 1 to 100"
181885,Er,train,<t>Er</t> … er … twice the amount of hesitation
181886,Wolf,train,Toy eaten up by Lord <t>Wolf</t>
181887,Praised,test,"<t>Praised</t> young Miliband after his elevation, say"
181889,defect,test,Project concealing road <t>defect</t>
181890,Bound,test,"<t>Bound</t> books, note inside"
181891,out of bounds,test,"Democrat in backing 24, <t>out of bounds</t>"
181895,24,validate,"<t>24</t>, English man on pitch"
181896,24,test,<t>24</t> last to return
181898,play,test,European revolutionary following queen in this short <t>play</t>
181899,Authority,train,<t>Authority</t> to get broadcast?
181901,Mundane,test,"<t>Mundane</t> letters from listener (retired), sent back"
181902,Venom,train,"<t>Venom</t> in cobras initially collected by boy, say?"
181903,departed,train,"A thousand  in African country abandoning river on the rise, <t>departed</t>"
181907,bird,train,"One put on gravy, but not to <t>bird</t>"
181908,Pampers,test,<t>Pampers</t>: sticky glue in diapers emptied
181912,drink,test,Time to feed author a <t>drink</t>
181915,Everywhere,train,"<t>Everywhere</t>, 24 pinching himself?"
181916,beginning,test,Working class <t>beginning</t>
181920,house,train,"Abandoning Germany, transfer <t>house</t>"
181921,Cat,test,<t>Cat</t>’s funny double chins she’d missed
181922,treatment,validate,What Acas offers involves constant <t>treatment</t>
181923,Test,test,<t>Test</t> chopper returned to Mark
181924,Resin,validate,<t>Resin</t> found in fuel emissions
181925,tree house,train,See note about book in <t>tree house</t>
181928,Take five,validate,"<t>Take five</t> or twelve, unfinished"
181931,joy,validate,Len Deighton novel nonetheless exudes <t>joy</t>
181932,Team,validate,<t>Team</t> all square tackling the French
181937,dress,train,Head off to blacken <t>dress</t>
181938,Nelson,test,"<t>Nelson</t>, servant of the French?"
181940,Report,validate,<t>Report</t> unrest involving one’s family
181941,complex,test,European dined after work in US <t>complex</t>
181942,stars,validate,Huge grizzly <t>stars</t>
181943,Wind,train,<t>Wind</t> makes you weather- beaten
181944,Sitting,train,<t>Sitting</t> close to actors in Noises Off’
181945,Note,validate,<t>Note</t> reverberations echoing a bit
181947,train,validate,Broken-down <t>train</t> not in? Almost everything about that’ll indicate variable units
181949,tree,test,Low round valley featuring <t>tree</t> in early stage of artist’s work
181951,state,test,"Suitable head of <t>state</t> installed, showing punch"
181951,punch,train,"Suitable head of state installed, showing <t>punch</t>"
181953,kind,validate,"Mostly unfeeling on the whole, the US <t>kind</t> is called a hooker"
181953,hooker,test,"Mostly unfeeling on the whole, the US kind is called a <t>hooker</t>"
181956,storyteller,test,What <t>storyteller</t> offers following devious sophi in accommodation once
181958,Recharge,validate,<t>Recharge</t> biography turning up bagged in reference library
181958,bagged,test,Recharge biography turning up <t>bagged</t> in reference library
181959,inflammation,validate,Limits start of <t>inflammation</t> with peppery seeds
181960,Kids,train,"<t>Kids</t> into robbery perhaps, lives looked into by the Met?"
181960,robbery,train,"Kids into <t>robbery</t> perhaps, lives looked into by the Met?"
181961,Tract,test,<t>Tract</t> of sleeplessness recalled for the record
181961,record,validate,Tract of sleeplessness recalled for the <t>record</t>
181962,involves,train,Excess in drinking vessel <t>involves</t> falsification
181962,falsification,validate,Excess in drinking vessel involves <t>falsification</t>
181965,Plant,validate,<t>Plant</t> artist among tangled root and I love composition
181965,composition,test,Plant artist among tangled root and I love <t>composition</t>
181966,Boy,validate,<t>Boy</t> or girl naps after work
181966,work,test,Boy or girl naps after <t>work</t>
181969,Strumpet,train,<t>Strumpet</t>
181970,aligned,test,Labrus properly <t>aligned</t> with regard to pouch
181972,Order,train,"<t>Order</t> rent to go up, central element for ruler"
181972,ruler,train,"Order rent to go up, central element for <t>ruler</t>"
181974,Romancer,test,"<t>Romancer</t> making courante dance, right?"
181974,dance,test,"Romancer making courante <t>dance</t>, right?"
181975,happen,validate,Love in progress to make things <t>happen</t> slower in song
181975,song,test,Love in progress to make things happen slower in <t>song</t>
181977,Stun,test,"<t>Stun</t> a blue tackled, first in team to go, non-functional"
181979,Red,validate,<t>Red</t> nag set free roamed at large
181979,at large,test,Red nag set free roamed <t>at large</t>
181980,weights,train,A choc’s bad for one? He may recommend training with <t>weights</t>
181982,grip,validate,Small coin held in <t>grip</t> – a rappen?
181987,bone,test,I chewed over a <t>bone</t>
182011,spurious,validate,"Dupe contrived by 13, <t>spurious</t>"
182015,General,test,<t>General</t> protected side
182021,settlement,train,"Excerpt in story, heading off for <t>settlement</t>"
182022,Setter,test,"<t>Setter</t> of crosswords, uncensored"
182023,13,test,"Talk with composer, <t>13</t>"
182024,Experience,test,"<t>Experience</t> in short, short"
182025,Poor,test,<t>Poor</t> choice ultimately in US president lacking knowledge
182027,Fastened,test,"<t>Fastened</t> to goods, was in the van"
182029,Tense,test,<t>Tense</t> has never been wrong?
182030,Divert,test,<t>Divert</t> first of lorries in error
182031,conveyance,validate,Sticker put in hole for <t>conveyance</t>
182032,idiot,test,"Among fools, a prize <t>idiot</t>"
182034,Funny,validate,<t>Funny</t> series following outsiders in secret
182042,Arrange,test,<t>Arrange</t> song
182042,song,test,Arrange <t>song</t>
182054,Ruth,test,"<t>Ruth</t> in corn, to it appearing alien?"
182065,Object,train,"<t>Object</t>, getting fit, runs included"
182068,Intercommunicate,test,"<t>Intercommunicate</t>, like cat with a scent around"
182071,Recollection,validate,"<t>Recollection</t>, as in names recollected"
182079,drinking glass,train,"Little mouth, perhaps, <t>drinking glass</t>"
182080,splash,test,"Second page, second <t>splash</t>"
182081,Busy,test,<t>Busy</t> time without leader and I
182082,entrance,validate,He can put out books in <t>entrance</t>
182084,Fish,train,<t>Fish</t> sounding like my fish!
182085,bandage,test,Doctor was requiring the <t>bandage</t>
182086,Wine,validate,<t>Wine</t> trade in champagne curtailed
182087,Square,test,Witnessed about nine heading for Tiananmen <t>Square</t>
182089,Perfect,test,<t>Perfect</t> fool has problem with lover
182090,Misery,test,<t>Misery</t> welcome briefly
182091,Reduce,train,"<t>Reduce</t> awkward length, squeezing one in"
182092,language,test,"Persian, say, in the style of new <t>language</t>"
182093,Very much,train,"<t>Very much</t> cut off, see"
182094,a wreck,train,"Reporter, possibly, <t>a wreck</t>"
182095,virtue,test,My <t>virtue</t>
182097,PM,test,<t>PM</t> last to take office
182100,leaves,train,Vocal character <t>leaves</t>
182101,answer,validate,Error message ends: wrong <t>answer</t>
182102,phoney,train,"Claiming posh, common ladies and gentlemen <t>phoney</t>"
182103,Stop,validate,<t>Stop</t> – or unstop?
182105,Creative,validate,<t>Creative</t> girl with name to conjure with
182106,Doughnut,test,<t>Doughnut</t>: rank filling in endless fruit
182107,Book,test,<t>Book</t> somewhere near Salford
182108,Standard,train,<t>Standard</t> merchandise
182108,merchandise,test,Standard <t>merchandise</t>
182113,21,test,Ridge on course to lose a <t>21</t>
182118,Misery,train,"<t>Misery</t>, western and Aliens — nothing between them"
182119,Article,train,"<t>Article</t> inaccurate I alter, do I?"
182120,Drive,test,<t>Drive</t> crooked mile around Peterhead
182123,Sky,train,<t>Sky</t> put article in text of news story
182127,advocate,validate,"Support figure going over testament, as <t>advocate</t>"
182130,Secret,test,"<t>Secret</t> society’s opening, they carelessly having hidden key"
182131,lapse,train,"Ear to brain, extraordinary <t>lapse</t>"
182132,Draw,test,<t>Draw</t> in game set to change
182133,Vegetarian,train,"<t>Vegetarian</t> diet under microscope, initially"
182135,Capital,test,"<t>Capital</t> quiet, after endless cheers on Japanese borders"
182137,Cow,test,"<t>Cow</t>, like her mate?"
182141,Basic,validate,"<t>Basic</t> issue recalled about stuff, including redundancy, primarily"
182143,Racket,train,<t>Racket</t> sport
182143,sport,test,Racket <t>sport</t>
182146,Sweet,test,"<t>Sweet</t> where OAP is in EastEnders, perhaps?"
182147,pad,train,Shocker by executioner confined to the walls of Sherlock’s <t>pad</t>
182151,Model,test,<t>Model</t> one piece of wood
182152,eucalyptus,validate,Short piece on metre-high <t>eucalyptus</t>
182153,unique,test,"Old and new, very powerfully <t>unique</t>"
182155,Money,validate,"<t>Money</t> problems, no capital"
182160,Creator,test,Composer not entirely a <t>Creator</t>
182161,Bells,test,"<t>Bells</t> ring round parish centre, one nonstop"
182162,racehorses,test,Fraud involving royal <t>racehorses</t>
182164,Unholy,test,"<t>Unholy</t> pope identifies himself, clutching ring"
182165,Nut,test,<t>Nut</t> in car picked up
182167,Press,train,<t>Press</t> university to enter for the country
182168,Incompetence,train,<t>Incompetence</t> not a trait of Mrs Brown’s Boys?
182169,salt,validate,Eccentric posh priest loathing <t>salt</t>
182171,Endurance,train,"<t>Endurance</t>’s mainmast shattered, all except top"
182172,Tract,test,<t>Tract</t> that appears in spring
182173,Team,validate,<t>Team</t> takes part in gospel evening
182174,Conformist,test,<t>Conformist</t> Dorothy endlessly trained to slice beef
182175,Cross,test,Taxi driver circling King’s <t>Cross</t>
182177,Flyer,test,<t>Flyer</t>’s short unaspirated cry
182179,gem,test,Best street guide’s a <t>gem</t>
182180,Rigid,train,<t>Rigid</t> Conservative blocked Maggie’s sobriquet briefly
182181,measuring device,test,"Fuel holder, nothing left but a <t>measuring device</t>"
182183,English person,validate,Birches raised in small wood for <t>English person</t>
182186,Song,train,<t>Song</t> and dance promotion
182187,spinner,validate,Get angry about men beginning to thump <t>spinner</t>
182188,quotation,validate,Unnamed royal scion’s <t>quotation</t>
182190,Courage,train,<t>Courage</t> shown in personal column?
182191,incline,test,Peter out in allotment finds <t>incline</t>
182197,Model,test,<t>Model</t> and casual worker behind schedule
182198,the way,test,Dreadful setter in <t>the way</t>
182199,stroke,train,Irritant gas about Mars causing <t>stroke</t>
182200,ban,train,Greek character’s piece about men reversing <t>ban</t>
182202,issue,train,Mother drinking Tango becomes <t>issue</t>
182205,Irritation,test,<t>Irritation</t> right in retina that needs treatment
182206,Fabric,train,<t>Fabric</t> is held in short wooden strip
182219,Arm,test,<t>Arm</t> mob with rifle after rioting
182220,Tax,train,<t>Tax</t> free investments started by southern California
182222,Scorn,test,<t>Scorn</t> one who is against court
182225,obedient,test,What policeman says inside lets you become <t>obedient</t>
182226,Bananas,train,<t>Bananas</t> are a type of edible fruit
182227,mysticism,train,Supposing America brought back <t>mysticism</t>
182228,Commendation,test,<t>Commendation</t> for fighter pilot capturing area in Arctic
182231,spy,test,"Receding hair, a hat, a muffler: disguise for <t>spy</t>"
182232,river,test,"On following a sinuous, unending <t>river</t>"
182234,toothless,test,"In paradise, sugar merchant is <t>toothless</t>"
182236,Discharge,test,<t>Discharge</t> nitric oxide back into river on schedule
182239,Limited,test,<t>Limited</t> punishment for stealing fortified wine
182240,petition,validate,Assume odd characters withdrew <t>petition</t>
182243,Sparkling,train,<t>Sparkling</t> beer and tuna cross in blender
182246,Deposit,validate,<t>Deposit</t> of sulphur in ground
182247,Scoffed,test,<t>Scoffed</t> at European capital
182248,Influence,test,<t>Influence</t> female luvvie?
182249,Fleet,test,<t>Fleet</t> stacks one in unfortunate fall
182250,Buff,test,<t>Buff</t> brand is hot
182251,schoolchild,train,Wild pig facing the German <t>schoolchild</t>
182254,Gorge,validate,<t>Gorge</t> and get rid of that
182257,Superficial,validate,<t>Superficial</t> dossier about a college
182261,MC,test,<t>MC</t> is brother from Bordeaux on committee
182262,Left,test,<t>Left</t> base
182262,base,validate,Left <t>base</t>
182263,Folk dance,train,<t>Folk dance</t> in Nottingham or Risley
182266,Miss,validate,<t>Miss</t> nothing with German
182267,gift,test,Monarch set aside freedom offering <t>gift</t>
182269,Top,test,<t>Top</t> firm thus toppled
182270,gully,test,A run with Rovers’ footballer round <t>gully</t>
182271,Chap,test,<t>Chap</t> with attitude
182271,attitude,test,Chap with <t>attitude</t>
182274,Move,test,<t>Move</t> disturbing letters by European
182277,contact,train,Run with every <t>contact</t>
182278,rounds,test,Modus operandi topped by morning <t>rounds</t>
182279,Trip,validate,<t>Trip</t> breaking urn
182280,newspaper,test,Slug in <t>newspaper</t>
182283,folk,validate,Worried the mostly pleasant <t>folk</t>
182284,Sees,validate,<t>Sees</t> fruit
182284,fruit,test,Sees <t>fruit</t>
182285,held,test,Prisoner prepared with no right to be <t>held</t>
182287,shape,train,Pound with new <t>shape</t>
182288,pain,test,Gun has gone off one’s in <t>pain</t>
182289,Prepare,validate,<t>Prepare</t> wine and serve
182290,Pretty,test,"<t>Pretty</t> bad failure, but right to be brushed aside"
182291,Picture,test,<t>Picture</t> I framed – good for daughter
182294,Judge,test,<t>Judge</t> bumps into rear of garage when reversing
182295,rested,test,Deputy stopped and <t>rested</t>
182296,drink,test,Bishop with hot <t>drink</t>
182298,Throws out,test,<t>Throws out</t> broken items
182300,drawn,validate,A Teddy boy on outside of paper is <t>drawn</t>
182301,fabric,test,Cover the inside with new <t>fabric</t>
182302,Corrupt,validate,<t>Corrupt</t> head of Chemotherapy in unproductive hospital department
182303,Piece of cake,test,<t>Piece of cake</t> – second bite
182304,life,validate,"Exit scene, upset? That’s <t>life</t>"
182305,Swapped,validate,<t>Swapped</t> old coins with old penny
182308,Release,validate,<t>Release</t> scoundrel I eventually imprisoned
182309,stopped,validate,Cold became less severe and <t>stopped</t>
182310,Strength,test,<t>Strength</t> when fixed
182311,Child,train,<t>Child</t> is small and used to be ignored on a regular basis
182343,Language,validate,<t>Language</t> adopted by Roman Church
182345,vestment,validate,"Vulgar youth, not very subtle, discards model <t>vestment</t>"
182348,Vigorous,test,<t>Vigorous</t> trill in aria
182349,Leaves,train,Gangsta band on stage covers <t>Leaves</t>
182350,Rat,test,<t>Rat</t> destroying red trees
182351,Remember,train,<t>Remember</t> about ring
182354,an eagle,test,Els losing one for <t>an eagle</t>
182356,Co-ordinate,test,<t>Co-ordinate</t> muscles when thus set up
182358,spirit,test,Afterthought in letter by Young Conservative leads to Henry’s effusive <t>spirit</t>
182359,ballet,validate,Sack girl in <t>ballet</t>
182360,Outline,validate,<t>Outline</t> small boat
182361,a car,train,"Natural consequence – abandoning railway, gets <t>a car</t>"
182364,Arrest,train,<t>Arrest</t> revolutionary outlaw
182367,Foul,test,<t>Foul</t> clue Ann solved
182369,OK,validate,"Silver clarinet, perhaps, is <t>OK</t>"
182370,Sudden,test,<t>Sudden</t> end of investment after rising graduate starts to reveal unethical practices
182373,Pretend,validate,"<t>Pretend</t> one’s cool, entering declining years"
182374,Helping,test,<t>Helping</t> discontented barista around coffee counter
182376,Quite,test,<t>Quite</t> attractive guards finally stop all disruptive conduct
182382,Communist,validate,<t>Communist</t> cobblers in extremely tremulous state
182384,Development,test,"<t>Development</t> of gallstone gutted Victoria, for one"
182388,Exit,train,<t>Exit</t> half-cut Finn with scarlet jumper upside down
182389,Split,validate,Mum returns quietly after month in <t>Split</t>
182390,conscience,test,Leader of Greece pricking Europe’s uneasy <t>conscience</t>
182394,Nervous,test,"<t>Nervous</t> sibling consumes pot, mostly, and heroin"
182396,Thin,test,<t>Thin</t> umpire in bit of sunshine
182429,Fasten,validate,<t>Fasten</t> strip across counter top
182430,staff,test,Navy takes issue when commandeered by Shell <t>staff</t>
182433,TREASURE,test,"Large, in bold: <t>TREASURE</t>"
182434,hollow,validate,Backing down <t>hollow</t>
182435,philosopher,test,Rejected member that went unheard as a <t>philosopher</t>
182436,scratched,train,Left the room <t>scratched</t>?
182442,Combination,test,<t>Combination</t> seal ultimately lacking
182446,China,train,Cook might have done so around North <t>China</t>
182449,Flag,train,<t>Flag</t> down Cook?
182453,tip,test,Graphical user interface initially overlapping cross <t>tip</t>
182454,fiddle,validate,Naughty kid‘s <t>fiddle</t>
182455,Revolutionary,train,<t>Revolutionary</t> worker drowned in Wear
182456,mop,train,No head on Nick’s <t>mop</t>
182458,Catch,test,<t>Catch</t> wine circle substituting carbon
182459,Woman,test,<t>Woman</t> on side of motorway subject to strain
182460,trousers,test,Son has no <t>trousers</t>
182461,cape,validate,Setter in Germany wears short fur <t>cape</t>
182463,washer,train,Half-cut lads take clothes from <t>washer</t>
182464,Aggrieved,validate,<t>Aggrieved</t> and tense after bus passes oddly withdrawn
182466,tipple,test,Reportedly late home after good <t>tipple</t>
182467,Lazy,test,<t>Lazy</t> student with an abridged book
182468,blade,test,Knight disposing of leftover <t>blade</t>
182469,Tartan,test,<t>Tartan</t> skirts spurned by kids on Penny Lane
182471,Documentary,train,<t>Documentary</t> about content of sports pages
182473,Begs,test,<t>Begs</t> escort to wear panties inside out
182474,bubbly,test,Second-rate celeb with yen for <t>bubbly</t>
182475,silence,validate,Cross nursing staff leaving station in <t>silence</t>
182478,the blues,train,Retired Irishman’s first to start singing <t>the blues</t>
182480,Hits,test,<t>Hits</t> copper with brief expression of annoyance
182482,mess,train,"Bachelors avoid cribs, bibs and <t>mess</t>"
182483,Cordial,validate,"<t>Cordial</t>, endearing jockey"
182484,rhubarb,test,100 lire – suitable charge for <t>rhubarb</t>
182485,Discouraging,test,"<t>Discouraging</t> nudism, allocates clothes"
182487,Scrawny,validate,<t>Scrawny</t> relatives south of small city
182488,Plenty,test,<t>Plenty</t> of beer keeping male quiet
182490,Aim,train,<t>Aim</t> in occupying corporation
182493,Transport,validate,<t>Transport</t> animal in unusual cart
182494,Pasta,train,"<t>Pasta</t> first for Rico, as against tucking into garlicky mix"
182495,Dish,test,<t>Dish</t> Papa and I mostly acclaim
182496,Add,train,<t>Add</t> last word in thoughtful man’s aphorism
182500,fading away,validate,"Addition of glossy stuff not right, <t>fading away</t>"
182502,Analysis,validate,<t>Analysis</t> in form of opinion
182504,Composition,validate,<t>Composition</t> almost put out without piano
182511,Put off,train,<t>Put off</t> visit
182511,visit,test,Put off <t>visit</t>
182512,Mammal,train,<t>Mammal</t> I caught in nasty trap
182513,port,test,A rival soap broadcast in <t>port</t>
182515,classical scholar,train,"In US city cash is tight, initially, for <t>classical scholar</t>"
182521,hurry,test,"In <t>hurry</t>, fling small amount"
182521,fling,validate,"In hurry, <t>fling</t> small amount"
182523,Soup,test,<t>Soup</t> for one on counter
182526,blanket,validate,"Good and hot, wrapped in a warmer <t>blanket</t>"
182527,a couple,train,"Of opposite meaning, one thing or <t>a couple</t>"
182532,Approximate,train,<t>Approximate</t> deposit on social event
182534,Dead,train,Returned gift. Problem? <t>Dead</t>
182536,A sculpture,validate,<t>A sculpture</t> as an instruction to take in faith
182537,block,validate,Dream about hotel <t>block</t>
182539,George,train,"<t>George</t> in paradise, almost opening a parcel"
182540,down,train,Mature fruit’s first <t>down</t>
182542,bird,test,Crumbs ward off troublesome <t>bird</t>
182546,quickly,validate,"Following everyone, I will cross river <t>quickly</t>"
182547,Stand,train,<t>Stand</t> up or play guitar
182548,gospel,test,Raised on one area of church <t>gospel</t>
182549,Sexless,train,"<t>Sexless</t>, having no call for excitement"
182555,Island,train,<t>Island</t> bird heading off
182556,Blinking,train,"<t>Blinking</t> incompetent, clueless trade initiatives, those primarily dividing Britain, say?"
182558,Open,train,"<t>Open</t> spirit, cap removed"
182559,Outline,test,<t>Outline</t> location accommodating university in new hotel
182560,challenging,test,What Russians are ill-advised to do? Leader in general <t>challenging</t>
182562,Building,test,<t>Building</t> which depicts how the baby Jesus was carried?
182567,drier,validate,Drag queen’s heart left <t>drier</t>
182568,film director,validate,Basic principle of conduct broken by blusterin’ <t>film director</t>
182569,doubtful,train,"Second, not first: it’s <t>doubtful</t>"
182573,detention,test,"Hole, inside which pretty terrified inmate starts <t>detention</t>"
182576,firm,test,Regularly use Tory in City <t>firm</t>
182577,Tenant,test,<t>Tenant</t> becoming “tnant” on bottom of missive
182578,Philosopher,train,<t>Philosopher</t> brought up on what?
182579,Char,validate,<t>Char</t> in stream
182579,stream,test,Char in <t>stream</t>
182585,obscure,train,<t>Obscure</t> iron roundabout in Slough
182587,county,test,<t>County</t> group to the right of a certain Boris at heart
182591,fascist,test,<t>Fascist</t> soul’s destroyed when crammed into compact vehicle
182592,erection,train,Utter cur’s grotesque <t>erection</t>
182601,reserved,validate,<t>Reserved</t> a scrubber with no surprise expressed
182602,vigorous,test,"<t>Vigorous</t> screwing, e.g. in Crete"
182603,faint,test,"Feel and be stimulated, then <t>faint</t>"
182608,brooded,test,"<t>Brooded</t>: “Nonetheless, Trump’s only just got started”"
182642,Feed,test,<t>Feed</t> on sour fish after starters are gone
182643,Mark,validate,<t>Mark</t> called for help
182645,Mention,validate,<t>Mention</t> a beast nursing endless desire
182646,Approval,test,<t>Approval</t> for top grades issued
182650,Horrible,validate,<t>Horrible</t> racket drowns sacred chant
182653,False,train,<t>False</t> starter making east turn twice
182657,Give,validate,<t>Give</t> wallop that’s painful
182659,Trimming,test,<t>Trimming</t> navy crew’s ration of tea after brouhaha
